
video games	3804850465.9381 762770
clothing	3795112031.2210 759021
baby products	3785934752.0801 755979
beauty products	3784893841.7550 756593
automotive	3772964884.1970 754374
gardening tools	3770634167.2180 753779
furniture	3765426263.8100 751654
electronics	3752545469.1090 754473
music instruments	3751443409.0560 749719
pet supplies	3741052810.3370 747993
home appliances	3734382465.0030 747080
stationery	3730159522.6370 747137
footwear	3727714975.9370 746456
groceries	3726522102.7190 747104
toys	3717938892.7760 742910
sports equipment	3716575036.2940 743213
books	3715943168.1580 743029
office equipment	3714849742.2670 742276
jewelry	3711761832.5489 743301
health & wellness	3704221799.1850 741407

